ClientID,GPA,FamilyIncome_k,IELTS,ProgramInterest,ScholarshipPreference,CostSensitivity,RecommendedDestination
90,3.41,40.7,8.0,Arts,High,Low,Australia
91,3.24,18.6,6.1,Business,Low,High,Germany
92,3.59,40.9,5.4,Arts,High,Medium,Germany
93,2.92,27.2,4.5,STEM,High,Low,France
94,3.07,89.1,5.5,Arts,Medium,High,Germany
95,3.04,52.7,6.4,Technical,Low,High,South Korea
96,2.61,48.1,8.1,Business,High,High,Canada
97,3.32,72.8,7.2,STEM,High,Low,Poland
98,3.3,32.6,6.8,Arts,Low,High,Germany
99,3.2,39.7,6.1,Arts,Medium,High,Germany
100,3.11,56.4,5.9,Arts,Low,Medium,Other
101,2.63,75.6,7.9,STEM,Medium,Low,Other
102,3.03,65.0,6.7,Arts,Medium,Low,Australia
103,3.06,60.0,4.5,STEM,Medium,Medium,Other
104,2.88,56.6,5.8,STEM,Medium,Low,Other
105,3.14,63.0,5.6,Business,Low,High,France
106,3.36,59.0,6.0,STEM,Low,High,Germany
107,3.95,34.4,7.1,Business,Medium,Low,Other
108,3.27,55.9,6.4,Business,Low,Medium,Other
109,3.3,33.5,6.4,STEM,Medium,High,Poland
110,3.17,56.6,7.8,Business,Medium,Medium,Canada
111,2.43,45.4,5.8,Technical,Medium,Medium,South Korea
112,3.19,105.8,8.4,STEM,Medium,Low,Other
113,3.22,54.2,5.8,Business,High,Low,France
114,4.19,26.9,6.6,STEM,Medium,Medium,Other
115,3.12,52.3,6.2,Business,Medium,Low,Other
116,3.32,65.4,6.6,STEM,Low,Medium,Canada
117,3.19,88.5,6.9,STEM,Low,Medium,Other
118,2.73,43.2,6.9,STEM,Medium,Medium,Australia
119,3.66,23.4,5.7,Technical,High,Medium,Singapore
120,3.5,71.3,5.4,Business,Medium,High,Germany
121,3.52,27.4,9.0,Business,Low,High,Poland
122,2.84,46.3,6.0,STEM,Medium,Medium,Other
123,3.76,49.8,7.2,Business,Medium,High,Australia
124,2.64,53.6,4.9,STEM,Low,High,Poland
125,3.43,68.8,6.2,STEM,Medium,High,France
126,4.08,41.3,6.4,Business,Medium,High,Poland
127,2.8,49.5,7.0,STEM,Medium,Medium,Australia
128,2.97,54.7,4.5,STEM,Medium,High,Poland
129,3.24,58.0,6.7,Business,Low,High,Canada
130,3.0,57.0,5.4,Arts,Medium,Medium,Other
131,2.58,63.7,6.8,STEM,Medium,Low,Canada
132,3.23,71.9,5.5,STEM,Medium,High,Germany
133,2.78,62.9,5.6,STEM,Medium,High,Germany
134,3.39,64.1,6.2,Technical,Medium,Low,Singapore
135,2.83,23.4,5.4,Arts,High,High,Poland
136,3.82,56.0,6.0,Business,Medium,Low,Other
137,2.89,64.6,5.3,Technical,Medium,High,Singapore
138,3.07,69.6,4.7,Business,High,High,Poland
139,3.53,41.2,7.5,Technical,Medium,High,Australia
140,2.71,41.8,5.2,STEM,Low,High,Poland
141,3.29,43.5,6.3,STEM,Medium,Low,Other
142,3.72,65.7,7.3,Business,Low,Low,Canada
143,2.56,75.7,5.9,STEM,High,Low,Poland
144,3.27,46.9,5.7,Business,Low,Low,Other
145,3.3,73.2,6.7,STEM,High,Low,France
146,3.51,57.5,7.6,Business,Medium,Medium,Australia
147,2.71,52.5,5.3,STEM,Medium,Low,Other
148,2.67,50.8,6.3,STEM,Medium,High,France
149,3.41,69.9,4.8,Technical,Low,High,Japan
150,3.32,61.5,6.1,Arts,Medium,Medium,Other
151,3.3,100.5,6.5,Technical,Medium,Low,Singapore
152,3.34,38.0,5.6,Arts,Low,Medium,Other
153,2.93,65.4,6.0,Business,Medium,Low,Other
154,3.29,44.4,5.1,Business,Medium,Medium,Other
155,3.32,37.6,6.6,STEM,High,Medium,Poland
156,2.91,54.8,7.6,STEM,Medium,Low,Canada
157,3.95,57.7,5.4,STEM,Low,High,Germany
158,3.39,113.4,5.9,Arts,High,Low,Germany
159,2.72,51.3,7.0,STEM,High,Medium,Canada
160,3.46,32.4,7.7,Technical,High,Medium,Singapore
161,2.81,60.5,5.0,Business,Medium,Low,Other
162,3.51,13.5,6.3,Arts,Medium,Medium,Other
163,3.66,53.2,6.8,STEM,High,Medium,Canada
164,2.87,55.3,6.4,STEM,Medium,Medium,Other
165,3.59,70.9,4.5,Technical,Low,High,UK
166,3.37,74.5,7.0,STEM,Medium,Medium,Other
167,3.53,44.9,8.0,STEM,Medium,High,Canada
168,3.96,52.0,6.6,STEM,High,Low,Canada
169,3.1,39.7,5.5,STEM,Low,High,Poland
170,2.9,32.4,6.0,STEM,Medium,Medium,Other
171,2.84,61.2,8.3,Business,Low,Low,Australia
172,2.87,29.5,7.4,Business,Low,Low,Other
173,3.17,46.7,7.1,Business,Low,Medium,Canada
174,3.34,35.1,6.9,STEM,High,Medium,Germany
175,3.31,66.0,5.8,Arts,Medium,High,Germany
176,3.53,91.0,6.3,Arts,High,High,UK
177,3.21,29.0,6.4,STEM,Low,High,Poland
178,3.78,17.9,7.0,STEM,Low,Medium,Other
179,3.09,52.5,8.0,STEM,Low,High,Australia
180,4.29,55.3,7.6,Arts,Medium,Medium,Australia
181,3.45,59.4,5.1,Arts,Medium,High,Germany
182,2.86,46.1,6.7,Technical,Medium,Medium,Australia
183,2.77,51.0,7.2,STEM,Medium,Medium,Australia
184,3.39,62.4,7.1,Business,Medium,Low,Canada
185,3.11,75.8,5.9,STEM,Medium,High,Poland
186,3.49,15.9,9.0,STEM,Low,High,Germany
187,3.39,47.6,5.2,Business,Medium,High,France
188,3.17,59.3,5.4,STEM,Low,High,Germany
189,2.86,36.6,6.7,Arts,Low,Medium,Other
190,2.59,89.6,8.6,Business,Medium,High,France
191,3.02,42.3,5.7,Arts,Medium,High,Germany
192,3.54,54.2,6.2,STEM,Medium,Low,Other
193,3.29,66.1,7.6,Technical,Medium,Medium,Canada
194,2.7,43.2,6.5,Technical,High,High,Canada
195,3.27,18.1,6.2,Technical,Medium,High,Japan
196,3.35,46.4,7.1,Arts,Low,High,Canada
197,2.85,75.6,6.8,Arts,High,Medium,France
198,3.26,48.3,7.5,Business,Medium,Medium,Canada
199,3.22,38.1,7.8,STEM,Low,Medium,Other
200,2.74,73.5,6.8,Business,Medium,High,Poland
201,3.34,48.4,6.8,Arts,Medium,Medium,Australia
202,3.42,44.8,6.7,Technical,Low,Medium,Australia
203,3.63,58.0,7.0,Business,Medium,Medium,Australia
204,3.62,70.4,6.6,STEM,High,Low,UK
205,2.65,102.6,6.5,Business,Low,High,France
206,2.82,71.5,7.7,Technical,Medium,High,Japan
207,3.41,78.2,8.0,STEM,Medium,Low,Other
208,3.41,44.9,5.0,STEM,Medium,High,Germany
209,3.41,34.5,6.5,Business,High,High,France
210,4.74,56.2,5.8,STEM,Low,Medium,Other
211,3.43,57.1,6.2,STEM,Low,Medium,Other
212,3.65,33.4,6.9,STEM,High,Low,France
213,3.58,51.5,7.2,Arts,Low,High,Australia
214,3.46,63.0,6.4,STEM,Low,High,Poland
215,3.07,62.2,4.6,Business,Medium,High,Poland
216,3.5,65.1,5.5,Arts,Medium,Medium,Other
217,2.89,60.8,7.4,Technical,High,High,Canada
218,3.11,44.9,4.5,Technical,Medium,Medium,Japan
219,3.01,44.7,7.7,Business,High,High,Australia
220,3.23,31.0,7.0,Technical,Medium,High,Japan
221,4.13,90.7,7.8,STEM,Medium,Medium,USA
222,2.45,55.3,6.3,Arts,Low,Low,Other
223,3.47,50.5,4.5,Business,Low,Low,Other
224,2.55,36.4,6.9,STEM,Medium,Low,Other
225,3.01,113.7,7.8,Business,Low,Medium,Other
226,3.64,33.5,7.4,STEM,Medium,High,Poland
227,3.23,46.4,5.8,Arts,Medium,High,Poland
228,2.77,63.3,6.6,STEM,High,Medium,Australia
229,2.91,67.0,6.0,Business,Low,High,France
230,3.47,74.2,5.7,STEM,Low,High,France
231,2.91,91.2,7.5,STEM,Low,High,Germany
232,3.29,65.1,5.3,Technical,Low,Medium,South Korea
233,3.22,33.9,5.6,Arts,Medium,High,Poland
234,2.94,49.9,5.4,Technical,Low,High,South Korea
235,4.06,61.2,5.0,STEM,Medium,Medium,Other
236,3.45,96.4,6.6,STEM,High,High,Poland
237,2.39,27.0,7.7,Business,Medium,Medium,Other
238,3.27,79.1,6.3,Business,Medium,Medium,Other
239,2.94,58.6,5.0,STEM,Medium,High,Poland
240,3.54,71.8,7.3,Arts,High,Medium,UK
241,2.88,53.0,8.2,STEM,High,High,Australia
242,3.15,38.2,5.9,STEM,Medium,Medium,Other
243,3.4,70.0,6.0,STEM,High,Medium,Poland
244,3.55,68.1,7.0,Business,High,Low,Canada
245,2.72,74.4,8.1,Arts,Medium,Medium,Other
246,3.07,54.7,6.0,Business,Low,High,France
247,3.01,43.0,5.2,Business,Low,Medium,Other
248,2.94,23.8,7.1,STEM,Medium,High,France
249,3.91,71.4,7.3,Technical,Low,Medium,USA
250,3.36,63.5,6.5,Technical,Medium,High,Australia
251,2.7,35.7,5.9,Business,Medium,Medium,Other
252,3.57,44.2,7.5,STEM,Medium,High,Canada
253,4.05,45.7,7.0,Business,Medium,Medium,Canada
254,3.61,25.3,5.7,Business,Medium,Medium,Other
255,2.59,38.6,6.5,Technical,Medium,High,South Korea
256,3.01,32.3,5.1,Technical,Medium,Low,South Korea
257,3.71,46.8,7.2,Arts,Medium,Medium,Australia
258,2.92,40.2,6.2,STEM,Low,High,France
259,3.38,22.5,6.1,Technical,Medium,High,South Korea
260,3.51,95.5,6.5,Business,Low,Medium,UK
261,2.83,80.1,6.5,Arts,Medium,High,Poland
262,3.18,39.4,7.4,Business,Low,Low,Other
263,1.9,60.4,7.1,STEM,Medium,High,Canada
264,2.79,63.3,6.3,Business,Low,High,France
265,3.1,78.8,7.3,STEM,Low,Low,Other
266,2.7,38.6,6.9,STEM,Medium,Low,Other
267,3.85,76.8,6.1,Arts,Medium,High,UK
268,2.63,44.0,6.4,STEM,High,Medium,Germany
269,3.02,28.3,6.4,STEM,Low,High,Poland
270,3.25,69.5,7.0,STEM,High,Medium,Canada
271,3.78,80.8,6.1,Business,Medium,Low,UK
272,2.63,106.8,6.1,Technical,Medium,High,Japan
273,3.67,31.0,8.5,STEM,Medium,High,Poland
274,3.2,69.0,7.4,STEM,Medium,High,Australia
275,2.81,46.8,5.7,Technical,Low,High,Singapore
276,3.38,70.7,7.1,Arts,Medium,High,Germany
277,3.28,25.6,6.6,STEM,Low,Low,Other
278,2.96,29.7,6.9,Arts,Medium,High,Germany
279,3.23,39.5,6.6,Business,High,Medium,France
280,3.05,56.6,7.7,Arts,High,Medium,Australia
281,3.25,42.2,6.8,Business,Low,Medium,Canada
282,3.46,68.2,6.4,Technical,High,Medium,Japan
283,3.83,75.5,7.5,STEM,Medium,High,UK
284,2.7,67.0,6.7,STEM,High,Medium,Canada
285,4.05,87.4,6.6,STEM,Medium,High,UK
286,2.42,63.3,6.8,Business,Low,Medium,Australia
287,3.14,30.7,6.4,Technical,Medium,High,South Korea
288,3.44,82.3,6.5,Business,High,Medium,Germany
289,3.31,42.9,5.9,STEM,Medium,Medium,Other
290,2.95,73.2,5.7,Business,Medium,Medium,Other
291,3.12,86.5,5.5,Business,High,High,Germany
292,3.0,64.1,5.1,Technical,Medium,High,Japan
293,2.96,25.1,5.6,Business,Medium,Low,Other
294,3.54,36.6,6.3,Business,High,High,Poland
295,3.34,81.5,6.6,Arts,Medium,High,Poland
296,2.92,51.6,6.2,Arts,Medium,Medium,Other
297,3.56,56.6,4.5,Business,Medium,Low,Other
298,3.32,70.2,8.1,STEM,Medium,High,France
299,3.53,68.9,7.6,Arts,Medium,Medium,Canada
300,3.45,60.6,6.9,Arts,Medium,Medium,Canada
301,2.87,50.8,8.4,Arts,Low,High,Australia
302,2.98,48.7,5.5,Technical,High,Medium,South Korea
303,3.5,72.2,8.4,Arts,Medium,Low,Other
304,3.44,66.1,5.5,Arts,Medium,Low,Other
305,3.19,49.9,6.7,Technical,Medium,High,Australia
306,3.25,76.6,5.2,STEM,Low,Medium,Other
307,3.71,52.4,6.5,Business,Medium,Medium,Australia
308,2.96,38.0,6.9,Business,Medium,High,France
309,3.42,39.8,6.3,STEM,Medium,Medium,Other
310,3.12,35.4,7.2,Arts,Low,High,Germany
311,3.11,49.6,6.6,Arts,Low,High,Canada
312,3.64,79.7,6.0,Arts,Medium,High,USA
313,3.53,38.9,5.9,Technical,Low,High,Singapore
314,3.53,58.8,7.3,STEM,High,Medium,Canada
315,3.72,41.9,5.8,Arts,Medium,High,Germany
316,3.21,49.8,7.4,Business,Medium,Medium,Australia
317,3.47,24.8,7.7,STEM,High,High,France
318,3.08,50.6,4.8,STEM,Medium,Medium,Other
319,3.33,51.1,7.6,Arts,Low,Low,Australia
320,3.15,65.8,8.6,Business,Medium,High,Canada
321,3.24,59.5,6.8,Arts,Medium,Medium,Australia
322,3.44,31.0,7.1,Business,Medium,Medium,Other
323,2.87,76.7,7.5,STEM,Medium,Medium,Other
324,4.04,59.2,6.2,STEM,Medium,High,France
325,2.8,59.0,6.7,STEM,Medium,Medium,Australia
326,2.71,54.8,5.2,Technical,Medium,High,Japan
327,3.66,44.6,6.6,STEM,Medium,High,Canada
328,3.52,59.4,7.0,Technical,High,Medium,Australia
329,3.45,64.5,7.0,Technical,High,High,Australia
330,3.45,20.1,7.6,Technical,Medium,Medium,Japan
331,3.2,44.2,5.7,Business,Medium,Medium,Other
332,2.84,49.9,6.0,Technical,Medium,Medium,South Korea
333,3.23,60.1,8.4,STEM,High,High,Canada
334,2.93,78.9,6.3,STEM,Medium,Low,Other
335,3.59,39.6,6.7,STEM,Low,Medium,Other
336,3.14,45.0,6.4,Technical,Low,High,Japan
337,2.87,44.7,5.7,STEM,Low,High,France
338,3.07,39.0,8.1,Business,High,Medium,Poland
339,3.37,48.1,6.0,STEM,Medium,Low,Other
340,2.97,70.4,5.4,STEM,Medium,Medium,Other
341,2.87,33.9,6.0,STEM,Medium,Medium,Other
342,3.3,63.6,4.5,Arts,High,High,Germany
343,3.3,21.0,5.8,Business,Low,High,France
344,3.0,43.8,5.5,Technical,Medium,High,South Korea
345,3.01,48.4,7.1,Business,Medium,Medium,Canada
346,3.29,88.5,5.8,Technical,Medium,High,Singapore
347,2.62,49.5,7.4,Business,Medium,High,Australia
348,2.64,11.0,7.9,Business,Medium,High,Poland
349,2.91,15.0,7.3,Business,Medium,Low,Other
350,3.11,55.7,6.3,Business,Medium,Medium,Other
351,3.32,67.3,6.6,Arts,Low,High,Canada
352,3.79,62.5,5.0,Business,Medium,Low,Other
353,3.54,58.4,6.4,Arts,Low,High,France
354,3.14,78.2,5.6,Arts,Medium,High,France
355,3.19,44.2,7.2,STEM,Medium,High,Australia
356,2.8,72.9,9.0,Business,Medium,High,Poland
357,3.19,22.4,7.0,STEM,Low,High,Germany
358,3.08,36.9,4.5,Business,High,Medium,France
359,3.33,18.9,6.1,Business,Medium,Medium,Other
360,2.87,49.5,6.6,Technical,Medium,Medium,Australia
361,3.41,54.1,6.6,STEM,High,Medium,Australia
362,3.81,57.3,5.8,STEM,High,Medium,France
363,3.16,56.2,6.7,STEM,Low,High,Australia
364,3.36,36.4,5.3,STEM,High,Medium,Germany
365,3.48,51.2,5.6,Arts,High,Medium,Germany
366,3.04,25.1,7.1,Arts,Low,Low,Other
367,3.29,82.3,5.5,Arts,Low,High,Poland
368,3.21,48.9,7.0,Arts,Medium,High,Australia
369,3.24,45.2,5.1,STEM,Medium,Medium,Other
370,2.89,86.8,8.3,STEM,Medium,Medium,Other
371,3.21,30.2,5.7,STEM,Low,High,Poland
372,3.4,32.5,6.3,Arts,Low,Medium,Other
373,3.78,33.1,6.8,Arts,Low,High,Germany
374,3.58,53.6,5.9,Business,Medium,Low,Other
375,4.06,63.6,6.6,STEM,Medium,High,Australia
376,2.89,69.8,7.1,STEM,High,High,Australia
377,3.55,106.4,7.5,Technical,High,High,UK
378,3.27,10.0,7.3,STEM,Low,Medium,Other
379,4.08,67.2,6.3,Arts,High,High,Poland
380,2.88,43.9,6.4,STEM,Medium,Medium,Other
381,2.86,43.3,8.8,STEM,Low,Low,Canada
382,2.96,42.6,7.4,Arts,Medium,High,Australia
383,2.35,36.8,5.6,STEM,High,Medium,Germany
384,2.99,88.7,6.6,Arts,Low,High,France
385,2.9,71.8,6.2,Arts,Low,High,Poland
386,3.26,55.5,6.4,Business,Low,High,Poland
387,3.34,82.0,5.3,Arts,Medium,High,Germany
388,3.95,24.7,6.1,Business,Medium,Medium,Other
389,3.58,28.4,8.3,STEM,High,High,France
390,2.97,11.4,7.1,Arts,Medium,Low,Other
391,2.84,41.0,4.5,Business,Medium,Medium,Other
392,3.4,58.2,7.7,STEM,Low,Medium,Australia
393,2.67,57.1,7.6,Technical,Medium,Low,Canada
394,3.93,58.0,6.1,Business,Medium,Low,Other
395,3.67,26.8,7.2,Arts,Low,Medium,Other
396,3.01,71.1,5.6,Arts,Low,Medium,Other
397,2.51,59.8,6.0,Business,Medium,High,Poland
398,3.74,69.7,8.0,Business,Low,Medium,Australia
399,3.15,17.1,6.2,Business,Low,Medium,Other
400,3.7,61.2,4.6,Business,Low,Low,Other
401,2.56,31.2,6.4,Arts,Low,High,Germany
402,2.96,47.1,6.4,Arts,Low,High,France
403,3.2,65.7,7.7,STEM,Medium,High,Australia
404,3.22,56.8,6.5,Business,High,Low,Australia
405,3.02,38.0,6.1,Technical,Medium,High,South Korea
406,3.45,55.1,7.5,Business,High,Medium,Australia
407,2.77,24.4,6.6,Arts,High,Medium,France
408,3.14,78.0,5.7,Arts,Medium,High,Germany
409,3.25,50.9,7.7,STEM,High,Medium,Australia
410,3.41,77.4,6.7,STEM,Low,Medium,Other
411,3.48,44.5,6.5,Arts,Low,High,Australia
412,2.75,44.5,6.7,Business,High,Medium,Canada
413,2.59,39.7,5.4,Business,Medium,Low,Other
414,3.71,72.5,6.0,Arts,Low,Low,USA
415,3.33,40.8,6.5,Arts,Low,Medium,Australia
416,2.9,67.9,6.3,STEM,Low,Medium,Other
417,3.82,47.4,7.8,STEM,Low,High,Canada
418,3.25,15.5,6.7,STEM,Low,Low,Other
419,3.67,43.6,7.4,Business,Medium,High,Canada
420,3.23,31.4,6.5,STEM,Medium,Medium,Other
421,4.02,55.7,7.6,Business,Low,High,Australia
422,3.9,31.2,6.9,STEM,Medium,High,France
423,3.1,73.5,6.5,Business,Low,High,France
424,3.59,53.2,6.5,STEM,Medium,Medium,Australia
425,3.46,51.4,5.5,Business,Low,Medium,Other
426,3.75,68.1,7.0,Business,Medium,Medium,Canada
427,2.81,74.3,6.5,STEM,Medium,High,France
428,3.47,54.6,6.0,Technical,Medium,Low,South Korea
429,3.62,39.6,7.6,STEM,Low,High,Germany
430,2.5,19.5,5.2,Business,Medium,High,France
431,2.73,41.3,6.1,Technical,Low,Medium,Singapore
432,2.38,42.7,7.5,Business,Low,Low,Australia
433,3.09,57.1,6.8,Arts,Low,High,Canada
434,3.49,48.1,6.5,STEM,Low,Medium,Canada
435,3.8,68.8,6.8,Business,Medium,Medium,Canada
436,3.23,42.7,6.7,Business,Medium,Low,Canada
437,3.85,53.9,5.0,STEM,High,High,Poland
438,2.65,78.7,6.2,Business,Low,Medium,Other
439,2.52,61.8,8.1,STEM,Low,High,Canada
440,3.18,53.8,5.8,Business,Medium,High,Germany
441,3.35,43.0,6.2,Technical,Medium,High,South Korea
442,3.19,42.3,6.0,STEM,Medium,Low,Other
443,2.37,38.0,6.4,STEM,High,High,Germany
444,3.16,44.2,5.9,Business,Medium,Low,Other
445,2.68,70.1,7.0,Business,Medium,High,Germany
446,3.47,50.6,6.7,Arts,High,Low,Australia
447,3.35,28.0,7.3,Business,Medium,Medium,Other
448,2.82,90.4,5.4,STEM,Medium,High,Poland
449,2.99,61.4,6.2,Arts,High,Medium,Germany
450,2.78,26.9,6.3,Arts,Medium,High,Poland
451,3.17,46.2,7.0,Business,Medium,High,Australia
452,3.58,57.2,5.7,Business,High,Medium,Germany
453,2.81,89.1,7.4,STEM,High,Medium,France
454,3.4,32.8,7.7,STEM,High,Medium,Poland
455,2.99,74.5,5.5,STEM,High,Medium,Germany
456,2.88,83.0,6.0,Business,Low,High,Poland
457,3.16,42.4,6.0,Technical,Medium,Low,Singapore
458,2.79,49.4,9.0,Business,High,Low,Canada
459,2.98,34.3,6.1,STEM,High,High,France
460,2.72,50.9,8.2,STEM,Medium,High,Australia
461,3.99,54.3,5.2,STEM,Low,Medium,Other
462,3.21,68.2,5.5,Business,Medium,Medium,Other
463,2.92,76.8,5.8,Business,High,High,France
464,3.29,40.0,5.7,STEM,Medium,High,Poland
465,3.16,15.7,6.2,Business,Medium,Medium,Other
466,3.11,54.6,5.8,STEM,High,Medium,Poland
467,3.45,60.9,5.7,STEM,Medium,High,Germany
468,3.5,60.0,7.7,STEM,Medium,Low,Canada
469,2.99,48.5,7.7,STEM,High,Medium,Canada
470,2.97,57.5,7.4,STEM,Medium,High,Australia
471,3.09,85.3,7.0,STEM,Low,Medium,Other
472,2.28,62.6,6.6,Arts,Medium,High,Australia
473,2.59,47.5,6.0,Arts,Medium,Medium,Other
474,3.75,45.0,5.5,Business,Medium,High,Poland
475,3.86,51.6,6.9,Arts,Medium,High,Canada
476,3.1,87.7,5.3,STEM,Low,High,Poland
477,3.43,51.3,5.5,Arts,Medium,High,Poland
478,3.32,54.6,7.7,STEM,High,Medium,Australia
479,4.43,45.4,8.4,Business,Medium,Medium,Australia
480,3.65,77.0,6.9,Business,Medium,High,USA
481,3.15,94.2,7.6,STEM,Medium,High,Germany
482,2.82,64.0,6.3,Technical,Low,Medium,South Korea
483,2.56,56.7,5.2,STEM,Low,High,Poland
484,3.28,55.7,7.1,STEM,High,High,Canada
485,2.9,7.3,7.1,STEM,Low,Medium,Other
486,2.63,69.9,6.6,STEM,Medium,Low,Canada
487,2.94,57.7,6.3,STEM,Low,Low,Other
488,2.77,63.6,7.5,STEM,Low,Medium,Australia
489,3.87,40.8,5.5,STEM,Medium,High,Germany
490,3.55,47.3,5.7,Arts,Medium,Medium,Other
491,3.2,46.8,5.5,STEM,Low,High,Germany
492,3.79,75.4,6.6,STEM,Medium,High,USA
493,3.23,47.4,5.4,Business,Medium,Medium,Other
494,2.86,96.7,5.8,Technical,Medium,Medium,Singapore
495,3.81,63.6,5.8,STEM,Low,High,France
496,3.42,29.5,6.2,STEM,Low,High,Poland
497,2.79,52.4,5.0,Technical,Medium,Medium,Singapore
498,3.12,42.0,6.6,STEM,Low,Low,Australia
499,2.85,11.1,7.7,Business,Medium,Medium,Other
500,2.65,87.0,6.6,STEM,Low,Medium,Other
501,3.57,69.1,8.0,Technical,Medium,Low,Canada
502,3.96,65.7,7.8,Technical,High,Medium,Australia
503,2.64,58.3,7.3,Arts,High,Medium,Canada
504,3.43,27.4,6.6,STEM,High,High,France
